SYMBOL,NAME OF COMPANY
Pilani Investment and Industries Corporation Limited,PILANIINVS
PIL ITALICA LIFESTYLE LIMITED,PILITA
Pioneer Embroideries Limited,PIONEEREMB
Pitti Engineering Limited,PITTIENG
Pix Transmissions Limited,PIXTRANS
The Peria Karamalai Tea & Produce Company Limited,PKTEA
Plastiblends India Limited,PLASTIBLEN
Platinum Industries Limited,PLATIND
Plaza Wires Limited,PLAZACABLE
Punjab National Bank,PNB
PNB Gilts Limited,PNBGILTS
PNB Housing Finance Limited,PNBHOUSING
Pritish Nandy Communications Limited,PNC
PNC Infratech Limited,PNCINFRA
P N Gadgil Jewellers Limited,PNGJL
Pondy Oxides & Chemicals Limited,POCL
Poddar Pigments Limited,PODDARMENT
Pokarna Limited,POKARNA
PB Fintech Limited,POLICYBZR
Polycab India Limited,POLYCAB
Poly Medicure Limited,POLYMED
Polyplex Corporation Limited,POLYPLEX
Ponni Sugars (Erode) Limited,PONNIERODE
Poonawalla Fincorp Limited,POONAWALLA
Power Grid Corporation of India Limited,POWERGRID
Hitachi Energy India Limited,POWERINDIA
Power Mech Projects Limited,POWERMECH
PPAP Automotive Limited,PPAP
Prakash Pipes Limited,PPL
Piramal Pharma Limited,PPLPHARMA
Prajay Engineers Syndicate Limited,PRAENG
Praj Industries Limited,PRAJIND
Prakash Industries Limited,PRAKASH
Prakash Steelage Limited,PRAKASHSTL
Praxis Home Retail Limited,PRAXIS
Precision Camshafts Limited,PRECAM
Precot Limited,PRECOT
Precision Wires India Limited,PRECWIRE
Premier Explosives Limited,PREMEXPLN
Premier Limited,PREMIER
Premier Energies Limited,PREMIERENE
Premier Polyfilm Limited,PREMIERPOL
Prestige Estates Projects Limited,PRESTIGE
Pricol Limited,PRICOLLTD
Prime Securities Limited,PRIMESECU
Prince Pipes And Fittings Limited,PRINCEPIPE
Priti International Limited,PRITI
Pritika Auto Industries Limited,PRITIKAUTO
Privi Speciality Chemicals Limited,PRIVISCL
Prozone Realty Limited,PROZONER
Prism Johnson Limited,PRSMJOHNSN
Prudent Corporate Advisory Services Limited,PRUDENT
Prudential Sugar Corporation Limited,PRUDMOULI
Punjab & Sind Bank,PSB
PSP Projects Limited,PSPPROJECT
PTC India Limited,PTC
PTC Industries Limited,PTCIL
PTL Enterprises Limited,PTL
Punjab Chemicals & Crop Protection Limited,PUNJABCHEM
Puravankara Limited,PURVA
PVP Ventures Limited,PVP
PVR INOX Limited,PVRINOX
Popular Vehicles and Services Limited,PVSL
Pyramid Technoplast Limited,PYRAMID
Quess Corp Limited,QUESS
Quick Heal Technologies Limited,QUICKHEAL
Quintegra Solutions Limited,QUINTEGRA
Race Eco Chain Limited,RACE
RACL Geartech Limited,RACLGEAR
Radaan Mediaworks India Limited,RADAAN
Radhika Jeweltech Limited,RADHIKAJWE
Radiant Cash Management Services Limited,RADIANTCMS
Radico Khaitan Limited,RADICO
Music Broadcast Limited,RADIOCITY
Railtel Corporation Of India Limited,RAILTEL
Rain Industries Limited,RAIN
Rainbow Childrens Medicare Limited,RAINBOW
Rajesh Exports Limited,RAJESHEXPO
Rajnandini Metal Limited,RAJMET
Rajratan Global Wire Limited,RAJRATAN
Raj Rayon Industries Limited,RAJRILTD
Rajshree Sugars & Chemicals Limited,RAJSREESUG
Raj Television Network Limited,RAJTV
Rajvir Industries Limited,RAJVIR
Rallis India Limited,RALLIS
Shree Rama Newsprint Limited,RAMANEWS
Rama Phosphates Limited,RAMAPHO
Rama Steel Tubes Limited,RAMASTEEL
The Ramco Cements Limited,RAMCOCEM
Ramco Industries Limited,RAMCOIND
Ramco Systems Limited,RAMCOSYS
Ramky Infrastructure Limited,RAMKY
Ram Ratna Wires Limited,RAMRAT
Rana Sugars Limited,RANASUG
Rane Engine Valve Limited,RANEENGINE
Rane Holdings Limited,RANEHOLDIN
Rategain Travel Technologies Limited,RATEGAIN
Ratnamani Metals & Tubes Limited,RATNAMANI
Ratnaveer Precision Engineering Limited,RATNAVEER
Raymond Limited,RAYMOND
Raymond Lifestyle Limited,RAYMONDLSL
Restaurant Brands Asia Limited,RBA
Rane Brake Lining Limited,RBL
RBL Bank Limited,RBLBANK
RBZ Jewellers Limited,RBZJEWEL
Rashtriya Chemicals and Fertilizers Limited,RCF
Reliance Communications Limited,RCOM
REC Limited,RECLTD
Redington Limited,REDINGTON
Redtape Limited,REDTAPE
Refex Industries Limited,REFEX
Regency Ceramics Limited,REGENCERAM
Relaxo Footwears Limited,RELAXO
Reliance Chemotex Industries Limited,RELCHEMQ
Reliable Data Services Limited,RELIABLE
Reliance Industries Limited,RELIANCE
Religare Enterprises Limited,RELIGARE
Reliance Infrastructure Limited,RELINFRA
Ravindra Energy Limited,RELTD
Remsons Industries Limited,REMSONSIND
Shree Renuka Sugars Limited,RENUKA
Repco Home Finance Limited,REPCOHOME
Rudrabhishek Enterprises Limited,REPL
Repro India Limited,REPRO
Responsive Industries Limited,RESPONIND
JHS Svendgaard Retail Ventures Limited,RETAIL
Renaissance Global Limited,RGL
Reliance Home Finance Limited,RHFL
RHI MAGNESITA INDIA LIMITED,RHIM
Robust Hotels Limited,RHL
Rico Auto Industries Limited,RICOAUTO
Reliance Industrial Infrastructure Limited,RIIL
Rishabh Instruments Limited,RISHABH
Ritco Logistics Limited,RITCO
RITES Limited,RITES
Ravi Kumar Distilleries Limited,RKDL
RKEC Projects Limited,RKEC
Ramkrishna Forgings Limited,RKFORGE
R K Swamy Limited,RKSWAMY
Rane (Madras) Limited,RML
Royal Orchid Hotels Limited,ROHLTD
Rolex Rings Limited,ROLEXRINGS
Rollatainers Limited,ROLLT
Rolta India Limited,ROLTA
Raj Oil Mills Limited,ROML
Rossari Biotech Limited,ROSSARI
Rossell India Limited,ROSSELLIND
Rossell Techsys Limited,ROSSTECH
Roto Pumps Limited,ROTO
ROUTE MOBILE LIMITED,ROUTE
Raghav Productivity Enhancers Limited,RPEL
RPG Life Sciences Limited,RPGLIFE
Reliance Power Limited,RPOWER
R.P.P. Infra Projects Limited,RPPINFRA
Rajshree Polypack Limited,RPPL
RPSG VENTURES LIMITED,RPSGVENT
Rashi Peripherals Limited,RPTECH
R R Kabel Limited,RRKABEL
R. S. Software (India) Limited,RSSOFTWARE
RSWM Limited,RSWM
R Systems International Limited,RSYSTEMS
RattanIndia Enterprises Limited,RTNINDIA
RattanIndia Power Limited,RTNPOWER
Rubfila International Limited,RUBFILA
The Ruby Mills Limited,RUBYMILLS
Ruchi Infrastructure Limited,RUCHINFRA
Ruchira Papers Limited,RUCHIRA
Rupa & Company Limited,RUPA
Rushil Decor Limited,RUSHIL
Keystone Realtors Limited,RUSTOMJEE
Ravinder Heights Limited,RVHL
Rail Vikas Nigam Limited,RVNL
Revathi Equipment India Limited,RVTH
S&S Power Switchgears Limited,S&SPOWER
Sab Events & Governance Now Media Limited,SABEVENTS
Sri Adhikari Brothers Television Network Limited,SABTNL
Sadbhav Engineering Limited,SADBHAV
Sadbhav Infrastructure Project Limited,SADBHIN
Sadhana Nitrochem Limited,SADHNANIQ
Safari Industries (India) Limited,SAFARI
Sagardeep Alloys Limited,SAGARDEEP
Sagar Cements Limited,SAGCEM
Sagility India Limited,SAGILITY
Sah Polymers Limited,SAH
Sahyadri Industries Limited,SAHYADRI
Steel Authority of India Limited,SAIL
Sakar Healthcare Limited,SAKAR
Sakthi Sugars Limited,SAKHTISUG
Saksoft Limited,SAKSOFT
Sakuma Exports Limited,SAKUMA
Salasar Techno Engineering Limited,SALASAR
Salona Cotspin Limited,SALONA
S.A.L. Steel Limited,SALSTEEL
Salzer Electronics Limited,SALZERELEC
Sambhaav Media Limited,SAMBHAAV
Samhi Hotels Limited,SAMHI
Sammaan Capital Limited,SAMMAANCAP
Sampann Utpadan India Limited,SAMPANN
Sanco Industries Limited,SANCO
The Sandesh Limited,SANDESH
Sandhar Technologies Limited,SANDHAR
Sandur Manganese & Iron Ores Limited,SANDUMA
Sangam (India) Limited,SANGAMIND
Sanghi Industries Limited,SANGHIIND
Sanghvi Movers Limited,SANGHVIMOV
Sanginita Chemicals Limited,SANGINITA
Sanofi India Limited,SANOFI
Sanofi Consumer Healthcare India Limited,SANOFICONR
Sansera Engineering Limited,SANSERA
Sanstar Limited,SANSTAR
Sanwaria Consumer Limited,SANWARIA
Sapphire Foods India Limited,SAPPHIRE
Sarda Energy & Minerals Limited,SARDAEN
Saregama India Limited,SAREGAMA
Sarla Performance Fibers Limited,SARLAPOLY
Sarveshwar Foods Limited,SARVESHWAR
Sasken Technologies Limited,SASKEN
Sastasundar Ventures Limited,SASTASUNDR
Satia Industries Limited,SATIA
Satin Creditcare Network Limited,SATIN
Sat Industries Limited,SATINDLTD
Saurashtra Cement Limited,SAURASHCEM
SBC Exports Limited,SBC
Shivalik Bimetal Controls Limited,SBCL
SBFC Finance Limited,SBFC
Suratwwala Business Group Limited,SBGLP
SBI Cards and Payment Services Limited,SBICARD
SBI Life Insurance Company Limited,SBILIFE
State Bank of India,SBIN
Schaeffler India Limited,SCHAEFFLER
S Chand And Company Limited,SCHAND
Schneider Electric Infrastructure Limited,SCHNEIDER
Shipping Corporation Of India Limited,SCI
Shipping Corporation of India Land and Assets Limited,SCILAL
Sheetal Cool Products Limited,SCPL
Som Distilleries & Breweries Limited,SDBL
Seamec Limited,SEAMECLTD
SecMark Consultancy Limited,SECMARK
SECUREKLOUD TECHNOLOGIES LIMITED,SECURKLOUD
Sejal Glass Limited,SEJALLTD
Selan Exploration Technology Limited,SELAN
SEL Manufacturing Company Limited,SELMC
SEMAC CONSULTANTS LIMITED,SEMAC
Senco Gold Limited,SENCO
SEPC Limited,SEPC
Sequent Scientific Limited,SEQUENT
Servotech Power Systems Limited,SERVOTECH
Seshasayee Paper and Boards Limited,SESHAPAPER
Setco Automotive Limited,SETCO
Setubandhan Infrastructure Limited,SETUINFRA
Seya Industries Limited,SEYAIND
Sheela Foam Limited,SFL
Synergy Green Industries Limited,SGIL
STL Global Limited,SGL
Shah Metacorp Limited,SHAH
Shah Alloys Limited,SHAHALLOYS
Shaily Engineering Plastics Limited,SHAILY
Shakti Pumps (India) Limited,SHAKTIPUMP
Shalby Limited,SHALBY
Shalimar Paints Limited,SHALPAINTS
Shankara Building Products Limited,SHANKARA
Shanti Overseas (India) Limited,SHANTI
Shanthi Gears Limited,SHANTIGEAR
Sharda Cropchem Limited,SHARDACROP
Sharda Motor Industries Limited,SHARDAMOTR
Share India Securities Limited,SHAREINDIA
Shekhawati Industries Limited,SHEKHAWATI
Shemaroo Entertainment Limited,SHEMAROO
Shilpa Medicare Limited,SHILPAMED
Shivalik Rasayan Limited,SHIVALIK
Shivam Autotech Limited,SHIVAMAUTO
Shiva Mills Limited,SHIVAMILLS
Shiva Texyarn Limited,SHIVATEX
S H Kelkar and Company Limited,SHK
Shoppers Stop Limited,SHOPERSTOP
Shradha Infraprojects Limited,SHRADHA
Shree Digvijay Cement Co.Ltd,SHREDIGCEM
SHREE CEMENT LIMITED,SHREECEM
Shree Pushkar Chemicals & Fertilisers Limited,SHREEPUSHK
Shree Rama Multi-Tech Limited,SHREERAMA
Shrenik Limited,SHRENIK
Shreyans Industries Limited,SHREYANIND
Shriram Pistons & Rings Limited,SHRIPISTON
Shriram Finance Limited,SHRIRAMFIN
Shriram Properties Limited,SHRIRAMPPS
Shyam Century Ferrous Limited,SHYAMCENT
Shyam Metalics and Energy Limited,SHYAMMETL
Shyam Telecom Limited,SHYAMTEL
Sical Logistics Limited,SICALLOG
Siemens Limited,SIEMENS
Sigachi Industries Limited,SIGACHI
Signet Industries Limited,SIGIND
Sigma Solve Limited,SIGMA
Signatureglobal (India) Limited,SIGNATURE
Signpost India Limited,SIGNPOST
Sikko Industries Limited,SIKKO
Standard Industries Limited,SIL
Silgo Retail Limited,SILGO
SIL Investments Limited,SILINV
Silly Monks Entertainment Limited,SILLYMONKS
Silver Touch Technologies Limited,SILVERTUC
Simbhaoli Sugars Limited,SIMBHALS
Simplex Infrastructures Limited,SIMPLEXINF
Sinclairs Hotels Limited,SINCLAIR
Sindhu Trade Links Limited,SINDHUTRAD
Sintercom India Limited,SINTERCOM
Sirca Paints India Limited,SIRCA
SIS LIMITED,SIS
Siti Networks Limited,SITINET
Siyaram Silk Mills Limited,SIYSIL
S.J.S. Enterprises Limited,SJS
SJVN Limited,SJVN
SKF India Limited,SKFINDIA
SKIL Infrastructure Limited,SKIL
Skipper Limited,SKIPPER
SKM Egg Products Export (India) Limited,SKMEGGPROD
Sky Gold Limited,SKYGOLD
Smartlink Holdings Limited,SMARTLINK
SMC Global Securities Limited,SMCGLOBAL
SML Isuzu Limited,SMLISUZU
Sarthak Metals Limited,SMLT
SMS Lifesciences India Limited,SMSLIFE
SMS Pharmaceuticals Limited,SMSPHARMA
Snowman Logistics Limited,SNOWMAN
Sobha Limited,SOBHA
Softtech Engineers Limited,SOFTTECH
Solara Active Pharma Sciences Limited,SOLARA
Solar Industries India Limited,SOLARINDS
Somany Ceramics Limited,SOMANYCERA
Soma Textiles & Industries Limited,SOMATEX
Somi Conveyor Beltings Limited,SOMICONVEY
Sona BLW Precision Forgings Limited,SONACOMS
SONAM LIMITED,SONAMLTD
Sonata Software Limited,SONATSOFTW
Savita Oil Technologies Limited,SOTL
The South Indian Bank Limited,SOUTHBANK
South West Pinnacle Exploration Limited,SOUTHWEST
S. P. Apparels Limited,SPAL
Spandana Sphoorty Financial Limited,SPANDANA
Sun Pharma Advanced Research Company Limited,SPARC
Spacenet Enterprises India Limited,SPCENET
Speciality Restaurants Limited,SPECIALITY
Spencer's Retail Limited,SPENCERS
Southern Petrochemicals Industries Corporation  Limited,SPIC
SPL Industries Limited,SPLIL
Supreme Petrochem Limited,SPLPETRO
SPML Infra Limited,SPMLINFRA
Sportking India Limited,SPORTKING
Shankar Lal Rampal Dye-Chem Limited,SRD
Sreeleathers Limited,SREEL
SRF Limited,SRF
SRG Housing Finance Limited,SRGHFL
Sree Rayalaseema Hi-Strength Hypo Limited,SRHHYPOLTD
SRM Contractors Limited,SRM
Shree Ram Proteins Limited,SRPL
Saraswati Saree Depot Limited,SSDL
Steel Strips Wheels Limited,SSWL
Stanley Lifestyles Limited,STANLEY
Strides Pharma Science Limited,STAR
Star Cement Limited,STARCEMENT
Star Health and Allied Insurance Company Limited,STARHEALTH
Star Paper Mills Limited,STARPAPER
Starteck Finance Limited,STARTECK
The State Trading Corporation of India Limited,STCINDIA
Steelcast Limited,STEELCAS
Steel City Securities Limited,STEELCITY
STEEL EXCHANGE INDIA LIMITED,STEELXIND
Stel Holdings Limited,STEL
Sterling Tools Limited,STERTOOLS
Sterlite Technologies Limited,STLTECH
Stove Kraft Limited,STOVEKRAFT
Stylam Industries Limited,STYLAMIND
Baazar Style Retail Limited,STYLEBAAZA
Styrenix Performance Materials Limited,STYRENIX
Subex Limited,SUBEXLTD
Subros Limited,SUBROS
Sudarshan Chemical Industries Limited,SUDARSCHEM
Sukhjit Starch & Chemicals Limited,SUKHJITS
Sula Vineyards Limited,SULA
Sumitomo Chemical India Limited,SUMICHEM
Sumit Woods Limited,SUMIT
Summit Securities Limited,SUMMITSEC
Sundaram Clayton Limited,SUNCLAY
Sundaram Multi Pap Limited,SUNDARAM
Sundaram Finance Limited,SUNDARMFIN
Sundaram Finance Holdings Limited,SUNDARMHLD
Sundaram Brake Linings Limited,SUNDRMBRAK
Sundram Fasteners Limited,SUNDRMFAST
Sunflag Iron And Steel Company Limited,SUNFLAG
Sun Pharmaceutical Industries Limited,SUNPHARMA
Sunteck Realty Limited,SUNTECK
Sun TV Network Limited,SUNTV
Superhouse Limited,SUPERHOUSE
Super Spinning Mills Limited,SUPERSPIN
Suprajit Engineering Limited,SUPRAJIT
Supreme Engineering Limited,SUPREMEENG
Supreme Industries Limited,SUPREMEIND
Supreme Infrastructure India Limited,SUPREMEINF
Supriya Lifescience Limited,SUPRIYA
Suraj Estate Developers Limited,SURAJEST
Suraj Limited,SURAJLTD
Suraksha Diagnostic Limited,SURAKSHA
Surana Solar Limited,SURANASOL
Surana Telecom and Power Limited,SURANAT&P
Suryalakshmi Cotton Mills Limited,SURYALAXMI
Surya Roshni Limited,SURYAROSNI
Suryoday Small Finance Bank Limited,SURYODAY
Sutlej Textiles and Industries Limited,SUTLEJTEX
Suumaya Industries Limited,SUULD
Suven Life Sciences Limited,SUVEN
Suven Pharmaceuticals Limited,SUVENPHAR
Suvidhaa Infoserve Limited,SUVIDHAA
Suyog Telematics Limited,SUYOG
Suzlon Energy Limited,SUZLON
Shree Vasu Logistics Limited,SVLL
SVP GLOBAL TEXTILES LIMITED,SVPGLOB
Swan Energy Limited,SWANENERGY
Swaraj Engines Limited,SWARAJENG
Swelect Energy Systems Limited,SWELECTES
Swiggy Limited,SWIGGY
Sterling and Wilson Renewable Energy Limited,SWSOLAR
Symphony Limited,SYMPHONY
Syncom Formulations (India) Limited,SYNCOMF
Syngene International Limited,SYNGENE
Syrma SGS Technology Limited,SYRMA
Tainwala Chemical and Plastic (I) Limited,TAINWALCHM
Taj GVK Hotels & Resorts Limited,TAJGVK
Take Solutions Limited,TAKE
Talbros Automotive Components Limited,TALBROAUTO
Tanla Platforms Limited,TANLA
Tara Chand InfraLogistic Solutions Limited,TARACHAND
Tarapur Transformers Limited,TARAPUR
TARC Limited,TARC
Transformers And Rectifiers (India) Limited,TARIL
Tarmat Limited,TARMAT
Tarsons Products Limited,TARSONS
Tasty Bite Eatables Limited,TASTYBITE
Tata Chemicals Limited,TATACHEM
Tata Communications Limited,TATACOMM
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
Tata Elxsi Limited,TATAELXSI
Tata Investment Corporation Limited,TATAINVEST
Tata Motors Limited,TATAMOTORS
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tata Technologies Limited,TATATECH
Tatva Chintan Pharma Chem Limited,TATVA
TBO Tek Limited,TBOTEK
Tribhovandas Bhimji Zaveri Limited,TBZ
Transport Corporation of India Limited,TCI
TCI Express Limited,TCIEXP
TCI Finance Limited,TCIFINANCE
Tantia Constructions Limited,TCLCONS
TCPL Packaging Limited,TCPLPACK
Tata Consultancy Services Limited,TCS
TD Power Systems Limited,TDPOWERSYS
Teamlease Services Limited,TEAMLEASE
Techindia Nirman Limited,TECHIN
Tech Mahindra Limited,TECHM
Techno Electric & Engineering Company Limited,TECHNOE
TECIL Chemicals and Hydro Power Limited,TECILCHEM
Tega Industries Limited,TEGA
Tejas Networks Limited,TEJASNET
Tembo Global Industries Limited,TEMBO
Tera Software Limited,TERASOFT
Texmaco Infrastructure & Holdings Limited,TEXINFRA
Texmo Pipes and Products Limited,TEXMOPIPES
Texmaco Rail & Engineering Limited,TEXRAIL
Tourism Finance Corporation of India Limited,TFCILTD
Transwarranty Finance Limited,TFL
TGB Banquets And Hotels Limited,TGBHOTELS
Thangamayil Jewellery Limited,THANGAMAYL
The Investment Trust Of India Limited,THEINVEST
Thejo Engineering Limited,THEJO
Themis Medicare Limited,THEMISMED
Thermax Limited,THERMAX
Thomas Cook  (India)  Limited,THOMASCOOK
Thomas Scott (India) Limited,THOMASCOTT
Thyrocare Technologies Limited,THYROCARE
Tilaknagar Industries Limited,TI
Technocraft Industries (India) Limited,TIIL
Tube Investments of India Limited,TIINDIA
Tijaria Polypipes Limited,TIJARIA
TIL Limited,TIL
Times Guaranty Limited,TIMESGTY
Time Technoplast Limited,TIMETECHNO
Timken India Limited,TIMKEN
Tips Films Limited,TIPSFILMS
Tips Music Limited,TIPSMUSIC
Thirumalai Chemicals Limited,TIRUMALCHM
Tirupati Forge Limited,TIRUPATIFL
TITAGARH RAIL SYSTEMS LIMITED,TITAGARH
Titan Company Limited,TITAN
Tamilnad Mercantile Bank Limited,TMB
Tamilnadu PetroProducts Limited,TNPETRO
Tamil Nadu Newsprint & Papers Limited,TNPL
Tamilnadu Telecommunication Limited,TNTELE
Tokyo Plast International Limited,TOKYOPLAST
Tolins Tyres Limited,TOLINS
Torrent Pharmaceuticals Limited,TORNTPHARM
Torrent Power Limited,TORNTPOWER
Total Transport Systems Limited,TOTAL
Touchwood Entertainment Limited,TOUCHWOOD
Teamo Productions HQ Limited,TPHQ
TPL Plastech Limited,TPLPLASTEH
Tracxn Technologies Limited,TRACXN
TRANSWORLD SHIPPING LINES LIMITED,TRANSWORLD
Tree House Education & Accessories Limited,TREEHOUSE
TREJHARA SOLUTIONS LIMITED,TREJHARA
Transindia Real Estate Limited,TREL
Trent Limited,TRENT
TRF Limited,TRF
Trident Limited,TRIDENT
Trigyn Technologies Limited,TRIGYN
Triveni Turbine Limited,TRITURBINE
Triveni Engineering & Industries Limited,TRIVENI
TruCap Finance Limited,TRU
TTK Healthcare Limited,TTKHLTCARE
TTK Prestige Limited,TTKPRESTIG
T T Limited,TTL
Tata Teleservices (Maharashtra) Limited,TTML
TVS Electronics Limited,TVSELECT
TVS Holdings Limited,TVSHLTD
TVS Motor Company Limited,TVSMOTOR
TVS Supply Chain Solutions Limited,TVSSCS
TVS Srichakra Limited,TVSSRICHAK
TV Today Network Limited,TVTODAY
TV Vision Limited,TVVISION
United Breweries Limited,UBL
UCAL LIMITED,UCAL
UCO Bank,UCOBANK
Udaipur Cement Works Limited,UDAICEMENT
Updater Services Limited,UDS
Ujaas Energy Limited,UEL
UFLEX Limited,UFLEX
UFO Moviez India Limited,UFO
The Ugar Sugar Works Limited,UGARSUGAR
Ugro Capital Limited,UGROCAP
Ujjivan Small Finance Bank Limited,UJJIVANSFB
UltraTech Cement Limited,ULTRACEMCO
Uma Exports Limited,UMAEXPORTS
Umang Dairies Limited,UMANGDAIRY
Usha Martin Education & Solutions Limited,UMESLTD
Unichem Laboratories Limited,UNICHEMLAB
United Drilling Tools Limited,UNIDT
Unicommerce Esolutions Limited,UNIECOM
Uniphos Enterprises Limited,UNIENTER
Uniinfo Telecom Services Limited,UNIINFO
Union Bank of India,UNIONBANK
Uniparts India Limited,UNIPARTS
United Spirits Limited,UNITDSPR
Unitech Limited,UNITECH
United Polyfab Gujarat Limited,UNITEDPOLY
The United Nilgiri Tea Estates Company Limited,UNITEDTEA
Univa Foods Limited,UNIVAFOODS
Univastu India Limited,UNIVASTU
Universal Cables Limited,UNIVCABLES
Universus Photo Imagings Limited,UNIVPHOTO
UNO Minda Limited,UNOMINDA
UPL Limited,UPL
Uravi T and Wedge Lamps Limited,URAVI
Urja Global Limited,URJA
Usha Martin Limited,USHAMART
Udayshivakumar Infra Limited,USK
UTI Asset Management Company Limited,UTIAMC
Utkarsh Small Finance Bank Limited,UTKARSHBNK
Uttam Sugar Mills Limited,UTTAMSUGAR
U. Y. Fincorp Limited,UYFINCORP
V2 Retail Limited,V2RETAIL
Vadilal Industries Limited,VADILALIND
Vaibhav Global Limited,VAIBHAVGBL
Vaishali Pharma Limited,VAISHALI
Vakrangee Limited,VAKRANGEE
Valiant Laboratories Limited,VALIANTLAB
Valiant Organics Limited,VALIANTORG
Vardhman Acrylics Limited,VARDHACRLC
Vardhman Polytex Limited,VARDMNPOLY
Varroc Engineering Limited,VARROC
Vascon Engineers Limited,VASCONEQ
Vaswani Industries Limited,VASWANI
Varun Beverages Limited,VBL
Vaxtex Cotfab Limited,VCL
Vedanta Limited,VEDL
Veedol Corporation Limited,VEEDOL
Venky's (India) Limited,VENKEYS
Venus Pipes & Tubes Limited,VENUSPIPES
Venus Remedies Limited,VENUSREM
Veranda Learning Solutions Limited,VERANDA
Vertoz Limited,VERTOZ
Vesuvius India Limited,VESUVIUS
Veto Switchgears And Cables Limited,VETO
V-Guard Industries Limited,VGUARD
Vardhman Holdings Limited,VHL
Viceroy Hotels Limited,VHLTD
Viceroy Hotels Ltd-RE,VHLTD-RE
Vidhi Specialty Food Ingredients Limited,VIDHIING
Vijaya Diagnostic Centre Limited,VIJAYA
Viji Finance Limited,VIJIFIN
Vikas EcoTech Limited,VIKASECO
Vikas Lifecare Limited,VIKASLIFE
Vimta Labs Limited,VIMTALABS
Vinati Organics Limited,VINATIORGA
Vintage Coffee And Beverages Limited,VINCOFE
Vindhya Telelinks Limited,VINDHYATEL
Vineet Laboratories Limited,VINEETLAB
Vinny Overseas Limited,VINNY
Vinyl Chemicals (India) Limited,VINYLINDIA
VIP Clothing Limited,VIPCLOTHNG
VIP Industries Limited,VIPIND
Vipul Limited,VIPULLTD
Virinchi Limited,VIRINCHI
Visaka Industries Limited,VISAKAIND
Visa Steel Limited,VISASTEEL
Vishnu Chemicals Limited,VISHNU
Vishwaraj Sugar Industries Limited,VISHWARAJ
Visagar Polytex Limited,VIVIDHA
VL E-Governance & IT Solutions Limited,VLEGOV
VLS Finance Limited,VLSFINANCE
V-Mart Retail Limited,VMART
Voltamp Transformers Limited,VOLTAMP
Voltas Limited,VOLTAS
Vishnu Prakash R Punglia Limited,VPRPL
Vraj Iron and Steel Limited,VRAJ
VRL Logistics Limited,VRLLOG
Vardhman Special Steels Limited,VSSL
VST Industries Limited,VSTIND
Vibhor Steel Tubes Limited,VSTL
V.S.T Tillers Tractors Limited,VSTTILLERS
Vardhman Textiles Limited,VTL
Waaree Energies Limited,WAAREEENER
VA Tech Wabag Limited,WABAG
Walchandnagar Industries Limited,WALCHANNAG
Wanbury Limited,WANBURY
Western Carriers (India) Limited,WCIL
Wealth First Portfolio Managers Limited,WEALTH
Websol Energy System Limited,WEBELSOLAR
Weizmann Limited,WEIZMANIND
Wonder Electricals Limited,WEL
Welspun Corp Limited,WELCORP
Welspun Enterprises Limited,WELENT
Welspun Investments and Commercials Limited,WELINV
Welspun Living Limited,WELSPUNLIV
Wendt (India) Limited,WENDT
WESTLIFE FOODWORLD LIMITED,WESTLIFE
WE WIN LIMITED,WEWIN
Wheels India Limited,WHEELS
Whirlpool of India Limited,WHIRLPOOL
Williamson Magor & Company Limited,WILLAMAGOR
Windlas Biotech Limited,WINDLAS
Windsor Machines Limited,WINDMACHIN
Winsome Yarns Limited,WINSOME
The Western India Plywoods Limited,WIPL
Wipro Limited,WIPRO
Wockhardt Limited,WOCKPHARMA
Wonderla Holidays Limited,WONDERLA
Worth Peripherals Limited,WORTH
W S Industries (I) Limited,WSI
West Coast Paper Mills Limited,WSTCSTPAPR
Xchanging Solutions Limited,XCHANGING
Xelpmoc Design And Tech Limited,XELPMOC
Xpro India Limited,XPROINDIA
Xtglobal Infotech Limited,XTGLOBAL
Yaari Digital Integrated Services Limited,YAARI
Yasho Industries Limited,YASHO
Yatharth Hospital & Trauma Care Services Limited,YATHARTH
Yatra Online Limited,YATRA
Yes Bank Limited,YESBANK
Yuken India Limited,YUKEN
Zaggle Prepaid Ocean Services Limited,ZAGGLE
Zee Entertainment Enterprises Limited,ZEEL
Zee Learn Limited,ZEELEARN
Zee Media Corporation Limited,ZEEMEDIA
Zenith Exports Limited,ZENITHEXPO
Zenith Steel Pipes & Industries Limited,ZENITHSTL
Zensar Technologies Limited,ZENSARTECH
Zen Technologies Limited,ZENTEC
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA
Zim Laboratories Limited,ZIMLAB
Zodiac Energy Limited,ZODIAC
Zodiac Clothing Company Limited,ZODIACLOTH
Zomato Limited,ZOMATO
Zota Health Care LImited,ZOTA
Zuari Agro Chemicals Limited,ZUARI
ZUARI INDUSTRIES LIMITED,ZUARIIND
Zydus Lifesciences Limited,ZYDUSLIFE
Zydus Wellness Limited,ZYDUSWELL
